問題文,解答,誤答1,誤答2,誤答3,小節,対象,カテゴリ
92小節のベースが「お経のよう」に聴こえないため、どう歌い方を変えるか。,同じ音が続いても、主旋律の動きに合わせて歌い方を寄せ、音程は同じでも動き・抑揚を感じさせる。,同じ音が続く間は音量を一定に保ち、動きは主旋律に任せて、土台としての安定を優先する。,同じ音が続くので、一音ずつ切って発語を立て、リズムの刻みで単調さを解消する。,同じ音が続く箇所では音程をわずかに上下させ、揺らぎによって単調さを解消する。,92小節,ベース,表現・主旋律連動
92小節女声「ひがしのそらが〜」「わずかにあけると」のフレージング上の要点を答えよ。,「そら」を少し長めにし、「が」は控えめかつ鼻濁音。「わずかにあけると」は「あける」に向かう。,「そら」を少し長めにし、「が」は控えめかつ鼻濁音。「わずかにあけると」は「わずか」に重心を置く。,「そら」を短めに切り、「が」を立てて次へ送る。「わずかにあけると」は「あける」に向かう。,「ひがし」を長めにし、「が」は鼻濁音にせず明瞭に出す。「わずかにあけると」は「と」で収める。,92小節,女声,発語・フレーズ
94小節の男声は主旋律でなくなるためどう音量を扱うか。また3拍目はどうするか。,音量を主旋律のために残す。ただし3拍目のおしゃれな音の動きは主張する。,音量を主旋律のために残す。3拍目のおしゃれな音の動きも同様に控えめに歌う。,主旋律でなくなるが音量は保つ。ただし3拍目のおしゃれな音の動きだけは抑える。,音量を主旋律のために残す。ただし3拍目でブレスを取り、次のフレーズに備える。,94小節,男声,役割・バランス
96小節「しっかりとしてくる」の「してくる」はなぜ溜めるのか。,その後のテンポ変化に必然性を持たせるため。,「しっかりとしてくる」という言葉の意味を強調するため。,直前のクレッシェンドを収め、音量をリセットするため。,各パートのブレスを揃え、次の入りの縦を合わせるため。,96小節,全体,テンポ・表現
99小節「はちの」の「は」と「ぶんぶん」は、それぞれどう発語するか。,「は」はhを早く捕まえる。「ぶんぶん」は「ぶうんぶうん」のように母音を長くし、和声が鳴る時間を確保する。,「は」はhを早く捕まえる。「ぶんぶん」は「ぶんっぶんっ」と撥音を短く切り、羽音のリズム感を出す。,「は」は母音から入って柔らかく始める。「ぶんぶん」は「ぶうんぶうん」のように母音を長くし、和声が鳴る時間を確保する。,「は」はhを長く伸ばして息の音を聞かせる。「ぶんぶん」はnを長く取り、鼻腔の響きで和声を作る。,99小節,アルト,発語・和声
103小節ベース「はーー」の3拍目の音変化は、和声上どんな音で、どう聴かせたいか。,ベースだけが動き、動いた音は和音の第7音。かっこつけて降り、おしゃれに聴かせる。,ベースだけが動き、動いた音は和音の第3音。かっこつけて降り、おしゃれに聴かせる。,ベースとアルトが同時に動き、動いた音は和音の第7音。目立たせず自然に降りて響きだけを変える。,ベースだけが動き、動いた音は根音のオクターブ下。どっしりと降りて低音を厚くする。,103小節,ベース,和声・表現
104小節アルト「よぶんなものがない」は、どのような主旋律として聴かせるか。,ffかつアクセントのある、堂々とした主旋律として聴かせる。弱々しくしない。,mfで丁寧に、他声部と溶け合う内声として聴かせる。出しゃばらないようにする。,ffだがアクセントはつけず、レガートで滑らかな主旋律として聴かせる。,ffかつアクセントのある主旋律として聴かせるが、最後はディミネンドして収める。,104小節,アルト,主旋律・音量
106小節以降の変拍子部分で、聴き手に伝えるため最優先で整理すべきことは何か。,縦を揃え、何を言っているかが聴こえるように整理する。スピード感も含め何度も擦り合わせる。,拍子の変化に振り回されないよう、まず各パートが単独で正確に歌えるようにする。縦は指揮に任せる。,音量と表情を先に作り込み、聴き手に勢いを伝える。縦のずれは変拍子の効果として許容する。,縦を揃え、何を言っているかが聴こえるように整理する。テンポは一定に保ち、スピード感は出さない。,106小節〜,全体,変拍子・アンサンブル
114小節「だまって」は、どのような子音の聞こえ方を目指し、どんな歌い方が提案されたか。,破裂まではいかなくても少し尖った子音を目指す。1文字ずつお腹を使って区切るように歌い、男声fffに完全には埋もれないようにする。,しっかり破裂させた強い子音を目指す。1文字ずつお腹を使って区切るように歌い、男声fffを超える音量を出す。,破裂まではいかなくても少し尖った子音を目指す。1文字ずつ切らずにレガートでつなぎ、男声fffに溶け込ませる。,子音は柔らかく丸めることを目指す。1文字ずつお腹を使って区切るように歌い、男声fffの陰に隠れることで対比を作る。,114小節,全体,発語・アクセント
116小節「わたしたちは」のディミネンドは、どこまでfの響きを残すか。,最初から小さくしすぎず、後半からディミネンドする。「わたし」くらいまではfの響きを失わない。,最初から小さくしすぎず、後半からディミネンドする。「わたしたちは」の最後までfの響きを保つ。,「わ」の直後からディミネンドを始め、フレーズ全体を通してなだらかに小さくしていく。,最初から小さくしすぎず、後半からディミネンドする。「わ」の一音だけfの響きを残す。,116小節,男声,音量・フレーズ
118小節の「逝く」は、どのようなニュアンスで歌うか。,テヌートっぽく歌う。,スタッカートっぽく歌う。,アクセントをつけて鋭く歌う。,ディミネンドして消えるように歌う。,118小節,全体,表現
121〜126小節で意識する「受け渡し」の順番と、和声面で理解すべきことは何か。,ソプラノ→ベース→ソプラノの受け渡しを意識する。コード進行を理解し、121〜124小節のテナーの面白い動き、125小節以降の難しいベース、ベースとアルトがぶつかる浮遊感を捉える。,ソプラノ→アルト→テナー→ベースの順の受け渡しを意識する。コード進行を理解し、121〜124小節のテナーの面白い動き、125小節以降の難しいベース、ベースとアルトがぶつかる浮遊感を捉える。,ベース→ソプラノ→ベースの受け渡しを意識する。コード進行を理解し、121〜124小節のアルトの面白い動き、125小節以降の難しいソプラノ、テナーとベースがぶつかる浮遊感を捉える。,ソプラノ→ベース→ソプラノの受け渡しを意識する。和声は指揮者に任せ、まずは各パートが音程を正確に取ることを優先する。,121〜126小節,全体,役割・和声
123小節ソプラノ「わたしたちがしんで」は、子音と「死」の表現をどうするか。,子音がオンビートにならないよう、pでもしっかり空気を動かして前に準備する。三善アクセントを明確にし、「死」が浮き出るようにする。,子音がオンビートに来るよう拍に合わせ、pなので空気は最小限に抑える。三善アクセントを明確にし、「死」が浮き出るようにする。,子音がオンビートにならないよう、pでもしっかり空気を動かして前に準備する。三善アクセントはつけず、「死」を目立たせないように歌う。,子音がオンビートにならないよう前に準備する。pなので「死」の一語だけ音量を落として陰影をつける。,123小節,ソプラノ,発語・表現
125小節「てんをつくほど」と、その後の「大きくなったら」はそれぞれどう歌うか。,「てんをつくほど」の跳躍は難しいができているので音量は大きくてよい。その後の「大きくなったら」で元気を失わず、アルトとハモる感覚を持つ。,「てんをつくほど」の跳躍は難しいので音量を抑えて確実に取る。その後の「大きくなったら」で元気を失わず、アルトとハモる感覚を持つ。,「てんをつくほど」の跳躍は難しいができているので音量は大きくてよい。その後の「大きくなったら」は跳躍の反動で自然に落ち着かせ、ソプラノに合わせる。,「てんをつくほど」は音量を大きくしてよいが、その後の「大きくなったら」ではディミネンドし、テナーとハモる感覚を持つ。,125小節,全体,音量・和声
130小節の音量は、どのくらい強く出す意識で、実際どの強弱に達するか。注意点は何か。,fのつもりで出して、ようやくmpになる。乱暴にはしない。音が高くなったら元の感覚に戻してよい。,mfのつもりで出して、ようやくpになる。乱暴にはしない。音が高くなったら元の感覚に戻してよい。,fのつもりで出して、ようやくmpになる。多少乱暴になっても構わない。音が高くなってもその感覚を保ち続ける。,楽譜どおりmpで出す。低音域なので響きは薄くなるが、音が高くなったところで自然に鳴るようになる。,130小節,全体,音量・発声
131小節「大きくなった木の下で」の「おおきく」は、低音域と速いテンポを踏まえてどう入るか。,低く出しづらいことを見越して可能な限り大きく鳴らし、入りの「おお」だけ少し溜めて鳴らす時間を作る。,低く出しづらいことを見越して無理をせず控えめに入り、「おお」は短く切ってテンポを優先する。,低く出しづらいことを見越して可能な限り大きく鳴らすが、テンポが速いので「おお」は溜めずに前へ運ぶ。,低音域なので音量より響きを優先し、入りではなく「きく」のほうを溜めて鳴らす時間を作る。,131小節,女声,音量・テンポ
133小節のクレッシェンドは、なぜ早めに立ち上げる必要があるか。,mpからfまで大きく上げる必要があるため、早めに大きくし始める。,pからffまで上げる必要があるため、最後に一気に上げる。,mpからfまで上げる必要があるが、早く上げると頂点で余裕がなくなるため、後半に集中して上げる。,直前のフレーズの余韻を残す必要があるため、小節の中ほどから上げ始める。,133小節,全体,音量
134小節のmp→f→pの強弱は、どのように表現する必要があるか。,落差が極めて大きいので、意図的に大きな差をつける。特にfをしっかり意識する。,落差が極めて大きいので、急激にならないよう滑らかにつなぐ。特にpをしっかり意識する。,落差が極めて大きいので、意図的に大きな差をつける。特にmpの小ささをしっかり意識する。,落差が大きすぎると不自然なので、実際にはmf→f→mp程度の幅に収める。,134小節,全体,音量・ダイナミクス
134小節では、どこまでfを保ち、何をしてはいけないか。,「あおう」まではfで歌い切り、それまではデクレッシェンドしない。,「したで」まではfで歌い切り、「あおう」からデクレッシェンドする。,「あおう」まではfで歌い切り、pを経ずにそのまま次のフレーズへつなぐ。,「きの」まではfで歌い切り、その後は自然に落としていく。,134小節,全体,音量・フレーズ
142小節「きみはかなしみ」のテヌートをどう捉えるか。,「か・な・し・み」の各音だけでなく、単語全体にテヌートがついていると思って歌い、その後の「を」を浮き立たせる。,「か・な・し・み」の各音にだけテヌートをかけ、単語全体はレガートでつなぎ、その後の「を」を浮き立たせる。,「か・な・し・み」の各音だけでなく、単語全体にテヌートがついていると思って歌い、その後の「を」は軽く抜いて収める。,「きみは」から単語全体にテヌートをかけ、「かなしみ」で徐々に短く切っていき、その後の「を」を浮き立たせる。,142小節,全体,音量・フレーズ
149小節以降の表現で重要な対比は何か。,「じんせいは」の重厚感と、「もりのなかの」の清涼感の対比。,「じんせいは」の清涼感と、「もりのなかの」の重厚感の対比。,「じんせいは」のfと「もりのなかの」のpという、音量だけの対比。,「もりのなかの」の明るさと、「いちにち」の翳りの対比。,149小節〜最後,全体,表現・音色
150小節「人生は」のfと、その後のpはどのように対比させるか。声の質はどうするか。,fをもっと大きくし、その後のpとの落差をつける。「人生」の重みを考え、軽くならない重厚感のある声にする。,fを抑えめにして、その後のpとの落差を自然につなげる。「人生」の軽やかさを考え、明るく澄んだ声にする。,fをもっと大きくし、その後のpとの落差をつける。声は明るく前に出る音色に切り替え、若々しさを出す。,fとpの差は音色で作り、音量差はつけすぎない。「人生」の重みを考え、重厚感のある声にする。,150小節,全体,音量・表現
150小節の助詞「は」の後は、なぜ口を閉じず、少し長めに伸ばしてよいのか。,休符へ向かうスラーがあり、「は」の後の余韻を楽しむため。,次のフレーズが同じ母音で始まるため、口の形を保っておく必要があるから。,口を閉じると響きが止まり、音程が下がって聴こえてしまうから。,ブレスを取る時間を確保し、次のpに備える必要があるから。,150小節,全体,発語・余韻
151小節以降「もりのなかのいちにち」のpは、後のpppを考えるとどの程度歌ってよいか。音色はどうするか。,pでももっと出してよい。直前の重厚感と対比して清涼感を出し、ピンと張った響く声で歌う。,後のpppに備えて、ここは楽譜どおり抑えて歌う。直前の重厚感を引き継ぎ、暗く沈んだ音色にする。,pでももっと出してよい。直前の重厚感を引き継いで、厚みのある落ち着いた音色で歌う。,pでももっと出してよい。清涼感を出すため、息を多く混ぜた柔らかい音色で歌う。,151小節〜,全体,音量・音色
151小節以降が暗く、後半でディミネンドしやすい問題は、どのような音量意識で改善したか。,声量を1.5倍くらいにすると改善した。低い進行で暗く寄りやすいことを自覚し、後半で自然に小さくならないよう強く注意する。,声量を1.5倍くらいにすると改善した。低い進行では自然な減衰も表現のうちなので、後半は流れに任せてよい。,母音を明るく変えると改善した。低い進行で暗く寄りやすいことを自覚し、後半で自然に小さくならないよう強く注意する。,テンポを少し速めると改善した。暗さは音量ではなく停滞感から来るため、前へ運ぶ意識を持つ。,151小節〜,全体,音量・表現
153小節「ようだった」の後、口はどうするか。なぜか。,口を閉じず、余韻を残す。,口を閉じて響きを止める。,口を閉じたままハミングする。,口を開いたままブレスする。,153小節,全体,発語・余韻
154小節「いえたら」は、4つの音をどのようにつなぐか。避けるべき歌い方は何か。,粒のように短く切ったり跳ねたりせず、一つ一つの音を切り離しつつ、各音で和音が鳴るのを確認する。「音量2倍」の意識で印象が改善した。,粒のように短く切ったり跳ねたりせず、4つの音を完全にレガートでつなぎ、和音の変化は意識しない。「音量2倍」の意識で印象が改善した。,一音ずつ短く切って粒立ちを出し、各音で和音が鳴るのを確認する。「音量半分」の意識で印象が改善した。,一つ一つの音を切り離しつつ各音で和音が鳴るのを確認するが、pなので音量は楽譜どおりに保つ。,154小節,全体,発語・和声
「わたしはうれしい」の「うれしい」は、楽譜上のpppに対してどのような音量・感情で歌うか。,pかmpくらいになるイメージで薄くしない。細やかさだけでなく、溢れ出んばかりの嬉しさを持ち、pppの枠を超えて表現したくなるくらいにする。,楽譜どおりpppを徹底し、消え入るような繊細さで歌う。感情も抑制し、内に秘めた嬉しさとして表現する。,pかmpくらいになるイメージで薄くしない。ただし感情は抑え、音量だけを確保して淡々と歌う。,ppだが響きは保つイメージで歌う。細やかさを最優先し、嬉しさは音色の明るさだけで表す。,155〜156小節,全体,音量・表現
竹田先生が考える「わたしはうれしい」の女声の歌い方と、その願いのニュアンスを答えよ。,「はにかんで」歌う。少し恥じらいがあり、願ってはいるが押し付けず、それでも「人生をともにした人が同じ思いを持ってくれたら嬉しい」という深い願いを表す。,「誇らしげに」歌う。人生を歌い切った達成感があり、聴き手に強く訴えかける、確信に満ちた願いを表す。,「はにかんで」歌う。恥じらいが中心で、願いは表に出さず、聴き手に解釈を委ねる淡い表現にとどめる。,「祈るように」歌う。願いを正面から差し出し、相手に同じ思いを持ってほしいと強く訴える表現にする。,155〜156小節,女声,表現・情景
終結部の女声の映像イメージと、その後のlululuへのつなぎ方を答えよ。,パステルカラーで描かれた女性が少しうるっとしているような、奥ゆかしさ・恥ずかしさ・涙のある歌声。その映像をlululuにも引き継ぎ、若い合唱団ならではの持ち味として歌う。,パステルカラーで描かれた女性が少しうるっとしているような、奥ゆかしさ・恥ずかしさ・涙のある歌声。ただしlululuでは映像を切り替え、無色透明な響きに戻して歌う。,力強い原色で描かれた女性が晴れやかに微笑むような、明るさと誇らしさのある歌声。その映像をlululuにも引き継ぎ、若い合唱団ならではの持ち味として歌う。,落ち着いたモノトーンで描かれた老女が静かに佇むような、達観と諦観のある歌声。その映像をlululuにも引き継ぎ、成熟した表現として歌う。,155〜156小節,女声・全体,表現・情景
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
