問題文,解答,小節,対象,カテゴリ
60小節の男声は、何に向かう意識を持ちながらどう歌うか。,もっと鳴らし、「ことば」のアクセンティッシモに向かっていく意識を持つ。,60小節,男声,音量・表現
81〜82小節の女声3声は、主旋律の音を歌っていない声部もどのような意識で歌うか。,全員が「自分は主旋律だ」と考え、音色と抑揚を揃え、違うのは音程だけという状態を目指す。,81〜82小節,女声,主旋律・表現
「たいき」の「た」は、どのようなイメージと表現につなげるか。,t子音を工夫して透き通った大気をイメージし、女声3声全員が全力で抑揚をつけて朝の透き通った情景を作る。,81〜82小節,女声,発語・情景
81〜82小節で、男声とローベースに求められることをそれぞれ答えよ。,男声は女声を聴いた上で5度のハモりをどう歌うか考える。ローベースは82小節でもっと鳴らす。,81〜82小節,男声・ローベース,和声・音量
92小節のcon motoはどのように表現するか。,テンポをもう少し前向きにし、先へ進む動きを出してcon motoを見せる。,92小節,男声,テンポ・表現
92小節のベースが「お経のよう」に聴こえないため、どう歌い方を変えるか。,同じ音が続いても、主旋律の動きに合わせて歌い方を寄せ、音程は同じでも動き・抑揚を感じさせる。,92小節,ベース,表現・主旋律連動
92小節女声「ひがしのそらが〜」「わずかにあけると」のフレージング上の要点を答えよ。,「そら」を少し長めにし、「が」は控えめかつ鼻濁音。「わずかにあけると」は「あける」に向かう。,92小節,女声,発語・フレーズ
94小節の男声は主旋律でなくなるためどう音量を扱うか。また3拍目はどうするか。,音量を主旋律のために残す。ただし3拍目のおしゃれな音の動きは主張する。,94小節,男声,役割・バランス
96小節「しっかりとしてくる」の「してくる」はなぜ溜めるのか。,その後のテンポ変化に必然性を持たせるため。,96小節,全体,テンポ・表現
99小節「はちの」の「は」と「ぶんぶん」は、それぞれどう発語するか。,「は」はhを早く捕まえる。「ぶんぶん」は「ぶうんぶうん」のように母音を長くし、和声が鳴る時間を確保する。,99小節,アルト,発語・和声
103小節ベース「はーー」の3拍目の音変化は、和声上どんな音で、どう聴かせたいか。,ベースだけが動き、動いた音は和音の第7音。かっこつけて降り、おしゃれに聴かせる。,103小節,ベース,和声・表現
104小節アルト「よぶんなものがない」は、どのような主旋律として聴かせるか。,ffかつアクセントのある、堂々とした主旋律として聴かせる。弱々しくしない。,104小節,アルト,主旋律・音量
106小節以降の変拍子部分で、聴き手に伝えるため最優先で整理すべきことは何か。,縦を揃え、何を言っているかが聴こえるように整理する。スピード感も含め何度も擦り合わせる。,106小節〜,全体,変拍子・アンサンブル
114小節「だまって」は、どのような子音の聞こえ方を目指し、どんな歌い方が提案されたか。,破裂まではいかなくても少し尖った子音を目指す。1文字ずつお腹を使って区切るように歌い、男声fffに完全には埋もれないようにする。,114小節,全体,発語・アクセント
116小節「わたしたちは」のディミネンドは、どこまでfの響きを残すか。,最初から小さくしすぎず、後半からディミネンドする。「わたし」くらいまではfの響きを失わない。,116小節,男声,音量・フレーズ
118小節の「逝く」は、どのようなニュアンスで歌うか。,テヌートっぽく歌う。,118小節,全体,表現
121〜126小節で意識する「受け渡し」の順番と、和声面で理解すべきことは何か。,ソプラノ→ベース→ソプラノの受け渡しを意識する。コード進行を理解し、121〜124小節のテナーの面白い動き、125小節以降の難しいベース、ベースとアルトがぶつかる浮遊感を捉える。,121〜126小節,全体,役割・和声
123小節ソプラノ「わたしたちがしんで」は、子音と「死」の表現をどうするか。,子音がオンビートにならないよう、pでもしっかり空気を動かして前に準備する。三善アクセントを明確にし、「死」が浮き出るようにする。,123小節,ソプラノ,発語・表現
125小節「てんをつくほど」と、その後の「大きくなったら」はそれぞれどう歌うか。,「てんをつくほど」の跳躍は難しいができているので音量は大きくてよい。その後の「大きくなったら」で元気を失わず、アルトとハモる感覚を持つ。,125小節,全体,音量・和声
130小節の音量は、どのくらい強く出す意識で、実際どの強弱に達するか。注意点は何か。,fのつもりで出して、ようやくmpになる。乱暴にはしない。音が高くなったら元の感覚に戻してよい。,130小節,全体,音量・発声
131小節「大きくなった木の下で」の「おおきく」は、低音域と速いテンポを踏まえてどう入るか。,低く出しづらいことを見越して可能な限り大きく鳴らし、入りの「おお」だけ少し溜めて鳴らす時間を作る。,131小節,女声,音量・テンポ
133小節のクレッシェンドは、なぜ早めに立ち上げる必要があるか。,mpからfまで大きく上げる必要があるため、早めに大きくし始める。,133小節,全体,音量
134小節のmp→f→pの強弱は、どのように表現する必要があるか。,落差が極めて大きいので、意図的に大きな差をつける。特にfをしっかり意識する。,134小節,全体,音量・ダイナミクス
134小節では、どこまでfを保ち、何をしてはいけないか。,「あおう」まではfで歌い切り、それまではデクレッシェンドしない。,134小節,全体,音量・フレーズ
142小節「きみはかなしみ」のテヌートをどう捉えるか。,「か・な・し・み」の各音だけでなく、単語全体にテヌートがついていると思って歌い、その後の「を」を浮き立たせる。,142小節,全体,音量・フレーズ
149小節以降の表現で重要な対比は何か。,「じんせいは」の重厚感と、「もりのなかの」の清涼感の対比。,149小節〜最後,全体,表現・音色
150小節「人生は」のfと、その後のpはどのように対比させるか。声の質はどうするか。,fをもっと大きくし、その後のpとの落差をつける。「人生」の重みを考え、軽くならない重厚感のある声にする。,150小節,全体,音量・表現
150小節の助詞「は」の後は、なぜ口を閉じず、少し長めに伸ばしてよいのか。,休符へ向かうスラーがあり、「は」の後の余韻を楽しむため。,150小節,全体,発語・余韻
151小節以降のdolciss.「もりのなかのいちにち」は、どのような表情・動きで歌いたいか。,踊るような、舞うような感じを出す。「もりの」「なかの」「いちにち」の各まとまりでデクレッシェンドするようなニュアンスをつける。,151小節,全体,表現
149小節「じんせいは」では、重厚感に加えて何を残したいか。,重厚感を持って歌いつつ、その後に余韻も残したい。,149小節,全体,表現
153小節「ようだった」の後、口はどうするか。なぜか。,口を閉じず、余韻を残す。,153小節,全体,発語・余韻
154小節「いえたら」は、4つの音をどのようにつなぐか。避けるべき歌い方は何か。,粒のように短く切ったり跳ねたりせず、一つ一つの音を切り離しつつ、各音で和音が鳴るのを確認する。「音量2倍」の意識で印象が改善した。,154小節,全体,発語・和声
「わたしはうれしい」の「うれしい」は、楽譜上のpppに対してどのような音量・感情で歌うか。,pかmpくらいになるイメージで薄くしない。細やかさだけでなく、溢れ出んばかりの嬉しさを持ち、pppの枠を超えて表現したくなるくらいにする。,155〜156小節,全体,音量・表現
竹田先生が考える「わたしはうれしい」の女声の歌い方と、その願いのニュアンスを答えよ。,「はにかんで」歌う。少し恥じらいがあり、願ってはいるが押し付けず、それでも「人生をともにした人が同じ思いを持ってくれたら嬉しい」という深い願いを表す。,155〜156小節,女声,表現・情景
終結部の女声の映像イメージと、その後のlululuへのつなぎ方を答えよ。,パステルカラーで描かれた女性が少しうるっとしているような、奥ゆかしさ・恥ずかしさ・涙のある歌声。その映像をlululuにも引き継ぎ、若い合唱団ならではの持ち味として歌う。,155〜156小節,女声・全体,表現・情景
5小節付近のcon motoでは、曲の雰囲気をどのように変化させたいか。,怖い・暗い方向にせず、どんどん明るくなっていくイメージを持つ。,5小節,全体,表現
9小節「つぎのひきみがやってきて」から、表現上どのような変化をつけるか。,それまでの雰囲気からパッと切り替え、場面が変わったことが明確に伝わるようにする。,9小節,全体,表現
18小節付近では、バリトンおよび他パートにどのような表情・動きが求められるか。,バリトンは楽しそうに歌い、躍動感を出す。ほかのパートも和音を保ちながら、より躍動感を持って進む。,18小節,全体,表現
33小節付近の男声と女声は、それぞれどのようなキャラクターで歌いたいか。,男声は軽やかに、女声は鳴らしながら前へ進む。女声は歌詞を担うため男声より聴こえてほしいが、暗くせず明るく歌う。,33小節,全体,表現
60小節付近の女声は、ダイナミクスの流れをどこへ向けるか。,クレッシェンドをより明確に効かせ、sfzへ向かう流れを作る。,60小節,女声,表現
80〜82小節付近の女声は、和音をどのように感じさせたいか。,十分に和音が感じられるほど鳴らし、その響きを保って進む。女声3声が一体となって和音を鳴らす。,80〜82小節,女声,表現
92小節「ひがしのそらがわずかにあけると」の男声は、どのような音色・雰囲気が好ましいか。,男声合唱らしい、少し尖った感じの音色が好ましい。,92小節,男声,表現
102小節付近では、ffに向けてクレッシェンドをどう作るか。,ffに到達することを見据え、直前のクレッシェンドから意識して前へ出していく。,102小節,全体,表現
108小節「むだな」では、どの言葉を表現上際立たせるか。,「む」を強調し、「むだな」という言葉を明確に立たせる。,108小節,全体,表現
113小節付近の男声は主旋律ではないが、どの程度の存在感が必要か。,ffに見合う十分な音量・存在感を持たせる。女声を支える和音としてもしっかり成立させる。,113小節,男声,表現
119小節以降の「いくだろう」からpesanteにかけて、時間の扱いはどうするか。,「いくだろう」の後に一瞬の間を設け、pesanteではかなり大きく溜める。「いくだろう」で弱く収めない。,119小節,全体,表現
139小節アウフタクト「わたしはしんせんな」では、どのような表情で前へ進みたいか。,明るさを保ち、しんせんな苺のよい香りをかぐようなイメージで、前に進む力を感じながら思い切って表現する。,139小節,全体,表現
145小節付近の女声「a」は、テナー「きてくれ」とどのような関係で表現するとよいか。,テナーの「きてくれ」を聴き、その言葉の上に女声の感嘆が乗るようなイメージで表現する。,145小節,女声・テナー,表現
155小節付近でアルトが意識したい音色上の関係は何か。,主旋律ではなくても、ソプラノの音色に近づけ、終結部の表情を一体化させる。,155小節,アルト,表現
